job_id,job_title,candidate_id,candidate_name,actual_label,prediction,probability,tfidf_similarity,skill_match_ratio,weighted_skill_match_ratio,matched_skills,missing_skills
J004,Frontend Developer,C006,Meera Joshi,0,0,0.09902753406847724,0.207467951538442,0.0,0.0,None,"css, html, javascript, react, typescript"
J004,Frontend Developer,C007,Karan Verma,0,0,0.016746598168627475,0.0,0.0,0.0,None,"css, html, javascript, react, typescript"
J004,Frontend Developer,C008,Ananya Rao,0,0,0.016746598168627475,0.0,0.0,0.0,None,"css, html, javascript, react, typescript"
J004,Frontend Developer,C009,Vikram Shah,0,0,0.02574607292202573,0.04887758977185303,0.0,0.0,None,"css, html, javascript, react, typescript"
J004,Frontend Developer,C010,Sneha Kapoor,1,1,0.9921055759929343,0.36827366400985073,1.0,1.0,"css, html, javascript, react, typescript",None
J005,Backend Python Developer,C001,Aarav Sharma,1,0,0.1888598853209938,0.14497389098941355,0.2,0.2727272727272727,python,"django, git, postgresql, rest api"
J005,Backend Python Developer,C002,Priya Singh,0,0,0.3734931012553007,0.1304110968637952,0.4,0.45454545454545453,"python, rest api","django, git, postgresql"
J005,Backend Python Developer,C003,Rohan Kumar,0,0,0.11237172333521697,0.07717829739695878,0.2,0.2727272727272727,python,"django, git, postgresql, rest api"
J005,Backend Python Developer,C004,Neha Patel,0,0,0.019625760724351553,0.01797856946563468,0.0,0.0,None,"django, git, postgresql, python, rest api"
J005,Backend Python Developer,C005,Arjun Mehta,0,0,0.07824529215717545,0.032706002410051914,0.2,0.2727272727272727,python,"django, git, postgresql, rest api"
J005,Backend Python Developer,C006,Meera Joshi,1,1,0.9982973560803113,0.5396467109332274,1.0,1.0,"django, git, postgresql, python, rest api",None
J005,Backend Python Developer,C007,Karan Verma,0,0,0.07631891318518404,0.029700056721275698,0.2,0.2727272727272727,python,"django, git, postgresql, rest api"
J005,Backend Python Developer,C008,Ananya Rao,0,0,0.07994349457342712,0.03530024463990911,0.2,0.2727272727272727,python,"django, git, postgresql, rest api"
J005,Backend Python Developer,C009,Vikram Shah,0,1,0.5125010120865309,0.22037247414013386,0.4,0.36363636363636365,"postgresql, rest api","django, git, python"
J005,Backend Python Developer,C010,Sneha Kapoor,0,0,0.08508543430414793,0.06970214941803005,0.2,0.18181818181818182,rest api,"django, git, postgresql, python"
